Depth,Age (peru SST) linear,"age (2 term polynomial, 580 res age)",UK37,SST (peru),C37total (peru),%N,d15N
426,7954.400,8130.673,0.732,20.390,14.2,0.003343371,7.367440521
427.5,7977.400,8147.990,0.741,20.660,11.48,,
428,7985.007657,8153.748,,,,0.004433924,5.998225398
429,8000.300,8165.243,0.754,21.040,16.01,,
430.5,8023.300,8182.431,0.725,20.180,14.48,0.004142385,6.042992512
432,8046.300,8199.554,0.745,20.760,12.74,0.004964175,6.280180877
434,8076.900,8222.284,0.726,20.220,21.88453005,0.004832216,6.433491203
436.5,8115.200,8250.536,0.740,20.612,18.44270195,0.004519363,6.362086875
438.5,8145.800,8273.008,0.739,20.590,22.62425897,0.004441783,6.485075772
440.5,8176.400,8295.365,0.735,20.460,22.18710626,0.004801313,6.297555472
442.5,8207.100,8317.608,0.722,20.075,11.800,0.004643558,6.142097242
444,8230.000,8334.214,0.734,20.450,14.33,0.004065985,5.861284754
445.5,8253.000,8350.756,0.728,20.270,15.62,,
446,8260.658499,8356.256,,,,0.004321187,6.03087214
447,8276.000,8367.234,0.735,20.480,13,,
448.5,8298.900,8383.646,0.740,20.610,15.56,0.003873854,5.931098794
450,8321.900,8399.995,0.739,20.590,17.13,0.004256017,6.536305755
451.5,8344.900,8416.278,0.743,20.700,12.54,,
452,8352.542113,8421.692,,,,0.005740895,5.987728715
453,8367.900,8432.497,0.730,20.310,14.1,,
454.5,8390.800,8448.651,0.742,20.670,11.89,0.005628304,6.291017893
456,8413.800,8464.741,0.731,20.360,13.61,0.004513919,6.310180929
457.5,8436.800,8480.766,0.736,20.500,15.76,,
458,8444.425727,8486.094,,,,0.005003898,6.345248238
459,8459.700,8496.727,0.739,20.600,17.085,,
460.5,8482.700,8512.623,0.746,20.790,11.93,0.004619619,7.371047519
462,8505.700,8528.454,0.747,20.830,13.83,0.004405368,6.871695651
463.5,8528.700,8544.221,0.759,21.180,14.22,,
464,8536.309342,8549.462,,,,0.004294814,6.486496481
465,8551.600,8559.923,0.746,20.780,17.25,,
466.5,8574.600,8575.561,0.737,20.530,14.75,0.00410766,6.668597274
468,8597.600,8591.134,0.745,20.750,12.29,0.004211906,6.800651627
469.5,8620.500,8606.642,0.733,20.400,15.39,,
470,8628.192956,8611.797,,,,0.004828388,6.832433047
471,8643.500,8622.086,0.739,20.580,14.21,,
472.5,8666.500,8637.465,0.737,20.520,17.6,0.005357779,6.677902681
474,8689.400,8652.780,0.743,20.700,15.26,0.004755933,7.098575079
475.5,8712.400,8668.030,0.755,21.060,15.89,,
476,8720.07657,8673.099,,,,0.00467039,7.150722227
477,8735.400,8683.215,0.745,20.760,17.43,,
478.5,8758.400,8698.336,0.748,20.840,14.87,0.005425371,6.913790087
480,8781.300,8713.392,0.757,21.110,15.99105335,0.005098658,7.639487435
481,8796.646248,8723.394,,,,,
481.5,8804.303216,8728.384,,,,,
482,8811.960184,8733.367,,,,0.00482242,7.143788282
483,8827.300,8743.311,0.731,20.353,18.29432098,0.004503674,6.704673944
484.5,8850.200,8758.174,0.73239293,20.3939097,17.73202994,0.005091908,7.972766404
485,8857.901991,8763.113,,,,0.004389401,6.482283016
486,8873.200,8772.971,0.742,20.680,16.57361973,,
487.5,8896.200,8787.705,0.734,20.430,18.89344503,0.004610058,7.242747696
489,8919.200,8802.373,0.760,21.200,18.17,0.004665842,7.092543613
490.5,8942.100,8816.977,0.756,21.090,18.03,,
491.5,8957.442573,8826.678,0.764,21.333,16.71626741,0.004305479,7.016796187
492,8965.100,8831.517,0.744,20.730,19.06,,
492.5,8972.756508,8836.349,,,,,
493,8980.400,8841.174,0.734,20.440,16.74387836,0.004036114,7.596338046
494,8995.727412,8850.802,,,,,
494.5,9003.38438,8855.606,,,,,
495,9011.000,8860.402,0.756,21.089,15.51634154,0.004736699,7.493453256
496.5,9034.000,8874.748,0.752,20.970,13.25,,
497,9041.669219,8879.515,,,,0.004763531,7.565531109
498,9057.000,8889.029,0.744,20.740,12.3,,
499.5,9080.000,8903.246,0.745,20.750,16.2,0.004543633,7.970159188
501,9102.900,8917.397,0.737,20.530,16.21,0.004630723,7.06570967
502.5,9125.900,8931.485,0.737,20.530,14.69,,
503,9133.552833,8936.166,,,,0.004525938,7.526267044
504,9148.900,8945.508,0.740,20.620,13.2,,
505.5,9171.800,8959.466,0.769,21.460,12.84,0.003851246,8.54380203
507,9194.800,8973.359,0.765,21.340,16.04,0.004656431,7.040055939
508.5,9217.800,8987.188,0.764,21.310,18.63,,
509,9225.436447,8991.784,,,,0.004345726,7.269126989
510,9240.800,9000.953,0.751,20.940,15.27,,
511.5,9263.700,9014.652,0.757,21.130,15.39,0.004292287,6.978921003
513,9286.700,9028.288,0.769,21.470,15.61,0.004372089,7.530189184
514.5,9309.700,9041.858,0.760,21.200,14.89,,
515,9317.320061,9046.367,,,,0.005365292,7.533913127
516,9332.600,9055.364,0.760,21.200,10.54,,
517.5,9355.600,9068.806,0.766,21.385,13.205,0.004492904,8.127836853
519,9378.600,9082.182,0.768,21.440,14.02,0.003535394,8.054781914
520.5,9401.500,9095.495,0.780,21.797,13.73142471,,
521,9409.203675,9099.918,,,,0.004236699,7.811063637
522,9424.500,9108.742,0.763,21.282,10.30944823,,
523.5,9447.500,9121.925,0.761,21.249,10.99664541,0.00403445,7.411855652
525,9470.459418,9135.044,0.782,21.864,11.17338588,0.003940788,8.699527034
526.5,9493.400,9148.097,0.785,21.951,9.337479079,,
527,9501.087289,9152.434,,,,0.003792591,8.302894799
528,9516.400,9161.087,0.752,20.982,9.52940906,,
529.5,9539.400,9174.011,0.761,21.243,11.29768301,0.003609108,8.193649901
530,9547.029096,9178.305,,,,,
531,9562.300,9186.871,0.761,21.225,13.134505,0.004091842,8.226086988
531.5,9570,9191.144,,,,,
532.5,9585.300,9199.667,0.761,21.226,12.96598409,,
533,9592.970904,9203.918,,,,0.003756973,8.447778135
534,9608.300,9212.398,0.768,21.439,10.45783515,,
535.5,9631.300,9225.064,0.759,21.190,11.61402335,0.002514164,9.814837269
536,9638.900,9229.272,0.753,21.000,12.4907906,,
537,9654.226646,9237.666,,,,0.003568057,8.663267301
537.5,9661.883614,9241.852,,,,,
538,9669.540582,9246.031,,,,,
538.5,9677.200,9250.203,0.774,21.620,13.52,,
539,9684.854518,9254.367,,,,0.00454098,8.585912008
539.5,9692.511485,9258.525,,,,,
540,9700.200,9262.675,0.781,21.830,9.2,,
540.5,9707.825421,9266.818,,,,,
541,9715.482389,9270.954,,,,0.003316396,9.600426958
541.5,9723.100,9275.083,0.776,21.690,10.92,0.003316396,9.600426958
542,9730.796325,9279.205,,,,,
542.5,9738.453292,9283.319,,,,,
543,9746.100,9287.426,0.765,21.350,12.56,0.003843839,7.631221444
544.5,9769.100,9299.705,0.769,21.460,10.92,,
545,9776.738132,9303.784,,,,0.003275127,7.375205497
546,9792.100,9311.919,0.757,21.130,10.97,,
547.5,9815.000,9324.069,0.758,21.140,10.9,0.003467132,7.465421009
549,9838.000,9336.154,0.746,20.800,11.09,0.004083953,7.650699749
550.5,9861.000,9348.174,0.745,20.760,10.93,,
551,9868.621746,9352.167,,,,0.004041006,6.805164862
552,9883.900,9360.130,0.755,21.070,10.82,,
552.5,9891.600,9364.101,0.752,20.980,10.39,,
553,9899.200,9368.064,0.753,21.000,12.36,0.003592785,8.112042664
553.5,9906.900,9372.021,0.763,21.290,11.25,,
554.5,9922.200,9379.913,0.759,21.170,10.99,,
555,9929.900,9383.848,0.759,21.170,10.81,0.003811455,7.85536566
556,9945.200,9391.696,0.753,21.000,10.66,,
557.5,9968.200,9403.415,0.759,21.180,10.11,0.003453413,8.07972231
559,9991.100,9415.069,0.761,21.230,10.42,0.003440682,8.052881485
559.5,9998.790199,9418.940,,,,,
560.5,10014.000,9426.659,0.757,21.120,10.4,,
561,10021.7611,9430.508,,,,0.0044052,7.791693031
562,10037.000,9438.184,0.754,21.020,9.48,,
563,10052.38897,9445.832,,,,0.0049398,6.452075358
,,,,,15.36345309,,
,,,,,4.238407987,0.005190335,
,,,,,,0.001134078,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,1.33573E-06,
