Depth,Age (peru SST) linear,"age (2 term polynomial, 580 res age)",UK37,SST (peru),C37total (peru),%N,d15N
98,2931.408882,2792.670,0.738,20.570,13.90549997,0.006189459,7.017991634
99,2946.722818,2813.638,0.728,20.278,16.99113471,,
99.5,2954.379786,2824.112,,,,,
100,2962.036753,2834.578,0.741,20.641,11.24815016,0.004179936,7.418251014
100.5,2969.693721,2845.037,,,,,
101,2977.350689,2855.489,0.769,21.484,13.47453551,,
101.5,2985.007657,2865.933,,,,,
102,2992.664625,2876.371,0.748,20.850,14.55321209,0.004628164,8.120181099
103.5,3015.635528,2907.640,0.724,20.153,16.71860759,,
104,3023.292496,2918.049,,,,0.005960675,7.333151777
104.5,3030.949464,2928.451,0.735,20.474,16.63463814,,
105,3038.606432,2938.845,,,,,
105.5,3046.2634,2949.232,0.702,19.509,13.39255101,,
106,3053.920368,2959.612,,,,,
106.5,3061.577335,2969.985,0.700,19.435,10.75817741,,
107,3069.234303,2980.351,,,,,
107.5,3076.891271,2990.709,0.716,19.904,13.02312091,,
108,3084.548239,3001.061,,,,,
108.5,3092.205207,3011.405,0.723,20.114,6.286272038,0.005389267,8.536593259
109,3099.862175,3021.742,,,,,
110.5,3122.833078,3052.710,,,,0.006046043,6.761403341
110.5,3122.833078,3052.710,0.735,20.468,8.88606313,,
111.5,3138.147014,3073.319,,,,,
112,3145.803982,3083.613,0.728,20.267,13.89213978,0.005886672,6.342345329
113,3161.117917,3104.179,,,,0.005203969,6.753099452
115.5,3199.400,3155.469,0.725,20.180,21.50183535,0.005510534,6.718058824
116.5,3214.700,3175.935,0.737,20.540,24.26,0.004477686,6.351400873
118,3237.700,3206.580,0.749,20.870,18.55,,
119.5,3260.700,3237.160,0.765,21.350,12.84,0.005139966,7.451112923
120.5,3275.972435,3257.511,,,,,
121,3283.600,3267.676,0.767,21.420,16.18,0.007640865,5.576483484
122,3298.943338,3287.984,,,,,
122.5,3306.600,3298.127,0.749,20.890,16.3,,
123,3314.257274,3308.263,,,,0.005937797,5.555714078
124,3329.600,3328.514,0.732,20.370,24.56,,
125.5,3352.500,3358.836,0.729,20.298,12.15963623,0.006913651,7.427601903
127,3375.500,3389.093,0.735,20.470,14.53,0.007997606,6.000204885
128.5,3398.500,3419.286,0.737,20.515,11.76,,
129,3406.140888,3429.336,,,,0.007138949,7.026597307
130,3421.500,3449.414,0.715,19.880,16.08,,
131,3436.76876,3469.464,,,,,
131.5,3444.400,3479.478,0.721,20.050,11.87,0.004662678,7.607279148
132.5,3459.739663,3499.484,,,,,
133,3467.397,3509.477,0.724,20.144,13.49148572,0.005367423,6.471487532
133.5,3475.054,3519.462,0.755,,,,
134,3482.711,3529.440,,,,,
134.5,3490.368,3539.411,0.741,20.650,19.96409742,,
135,3498.025,3549.375,,,,0.005356709,5.719483546
135.5,3505.681,3559.331,0.745,20.765,16.55236459,0.005356709,5.719483546
136,3513.338,3569.281,,,,,
136.5,3520.995,3579.223,0.766,,,,
137,3528.652,3589.158,0.781,21.824,14.87720055,0.004566515,7.081775558
137.5,3536.309,3599.086,0.789,,,0.004566515,7.081775558
138,3543.966,3609.007,0.781,,,,
138.5,3551.623,3618.920,0.771,21.538,9.159591713,,
139,3559.280,3628.827,,,,0.006577053,5.289130875
139.5,3566.937,3638.726,,,,,
140,3574.594181,3648.618,0.738,20.564,20.02115823,,
141.5,3597.600,3678.251,0.739,20.600,18.75,0.005849133,5.853629724
143,3620.500,3707.819,0.733,20.400,21.71,0.00615334,5.985850382
144.5,3643.500,3737.323,0.746,20.790,23.33,0.005878206,6.290971145
146.5,3674.100,3776.561,0.766,21.370,22.31,,
147.5,3689.400,3796.136,0.758,21.140,20.7,0.005180492,5.885122782
149,3712.400,3825.446,0.759,21.170,21.84,0.005229881,6.725831157
150.5,3735.400,3854.692,0.751,20.950,18.01,,
151,3743.047473,3864.426,,,,0.00511352,6.663576862
152,3758.400,3883.873,0.732,20.370,15.89,,
153.5,3781.300,3912.989,0.749,20.880,16.98,0.004171762,6.45068587
154,3788.98928,3922.680,,,,,
155,3804.300,3942.040,0.746,20.790,12.66,0.004797557,7.016354628
156,3819.617152,3961.372,,,,,
156.5,3827.300,3971.027,0.737,20.540,10.82,,
157,3834.931087,3980.675,,,,0.004577252,7.581353016
158,3850.200,3999.950,0.703,19.530,20.54,,
159.5,3873.200,4028.808,0.726,20.200,20.66,0.005075797,5.583080346
161,3896.200,4057.601,0.775,21.640,19.75,0.005266072,6.114679971
162,3911.500,4076.760,0.745,20.750,16.33,,
162.5,3919.157734,4086.329,,,,,
163,3926.800,4095.891,0.727,20.240,13.6,0.005332512,6.033212515
164,3942.100,4114.993,0.735,20.470,16.89,,
165,3957.400,4134.067,0.752,20.985,8.95,0.004503369,6.87420802
167,3988.100,4172.128,0.773,21.580,11.27,0.00424684,6.47709114
168.5,4011.000,4200.598,0.746,20.800,24.07,,
169,4018.698315,4210.074,,,,0.005131595,7.50155362
170,4034.000,4229.004,0.718,19.960,18.54,,
,,,,,,,
171.5,4057.000,4257.345,0.724,20.160,19.44,0.004652988,6.163019677
173,4080.000,4285.621,0.730,20.310,21.54,0.005018755,6.851864833
,,,,,,,
174.5,4102.900,4313.833,0.749,20.880,16.08,,
,,,,,,0.005001628,8.10157912
176,4125.900,4341.980,0.757,21.130,11.94,,
,,,,,,,
177,4141.200,4360.709,0.756,21.090,9.96,0.004032442,8.997987861
177.5,4148.866769,4370.063,,,,0.004032442,8.997987861
178.5,4164.200,4388.749,0.770,21.510,12.56,,
179,4171.837672,4398.081,,,,0.004853821,5.087970848
179.5,4179.49464,4407.406,,,,0.004853821,5.087970848
180,4187.200,4416.724,0.729,20.280,21.84,,
180.5,4194.808576,4426.035,,,,,
181,4202.465544,4435.338,,,,,
181.5,4210.100,4444.634,0.725,20.190,17.49,0.003891107,5.54264036
182,4217.800,4453.923,0.738,20.560,14.59,,
183,4233.093415,4472.480,,,,0.00498532,6.813843156
184.5,4256.100,4500.261,0.717,19.930,14.28,,
185,4263.721286,4509.508,,,,0.004824988,6.956637122
186,4279.035222,4527.978,0.729,20.300,21.63,,
186.5,4286.69219,4537.203,,,,,
186.75,4290.520674,4541.812,,,,,
187,4294.349158,4546.420,,,,,
187.5,4302.000,4555.630,0.723,20.120,21.9,0.004376331,6.897037218
188,4309.663093,4564.833,,,,,
188.5,4317.320061,4574.029,,,,,
189,4325.000,4583.218,0.728,20.250,20.09,0.004455445,7.430847999
189.5,4332.600,4592.399,0.725,20.190,19.75,,
190,4340.290965,4601.573,,,,,
190.5,4347.947933,4610.740,,,,,
191,4355.600,4619.900,0.751,20.950,15.06,0.005526105,6.096671363
191.5,4363.261868,4629.053,,,,,
192,4370.918836,4638.199,,,,,
192.5,4378.600,4647.337,0.733,20.400,8.54,0.002999595,8.950846781
193,4386.232772,4656.468,,,,,
193.5,4393.88974,4665.592,,,,,
194,4401.500,4674.709,0.758,21.150,6.82,,
194.5,4409.203675,4683.819,,,,,
195,4416.860643,4692.922,,,,0.004637575,6.853688862
195.5,4424.517611,4702.017,0.775,21.650,8.68,0.004637575,6.853688862
197,4447.500,4729.260,0.740,20.620,5.528384885,0.004144673,7.951791905
197.5,4455.100,4738.326,0.731,20.340,7.97,,
198.5,4470.500,4756.438,0.734,20.430,5.89,,
199.5,4485.800,4774.521,0.737,20.540,16.08,0.004159211,8.656748382
200,4493.400,4783.552,0.729,20.280,16.42,,
200.5,4501.087289,4792.576,,,,,
201.5,4516.400,4810.601,0.735,20.460,13.29,0.002779936,8.304635382
202.5,4531.700,4828.598,0.754,21.030,23.14,,
203,4539.400,4837.586,0.724,20.140,17.35,0.00623193,6.706785285
203.5,4547.000,4846.566,0.735,20.460,19.85,,
204,4554.700,4855.540,0.736,20.500,26.03,,
204.5,4562.300,4864.506,0.718,19.980,20.73,,
205,4570,4873.465,,,,0.00741175,7.300770413
206,4585.300,4891.361,0.713,19.820,22.52,,
206.5,4593.000,4900.299,0.723,20.110,29.75,,
207.5,4608.300,4918.152,0.704,19.570,26.64,0.006531857,7.273870766
208,4615.900,4927.068,0.705,19.600,21.31,,
209,4631.300,4944.878,0.739,20.580,19.84101858,0.006849577,6.663142478
209.5,4638.900,4953.773,0.740,20.620,22.15,,
210,4646.569678,4962.660,,,,,
210.5,4654.200,4971.540,0.763,21.290,19.44,,
211.5,4669.500,4989.278,0.752,20.970,14.21,0.005444273,8.224946153
212,4677.200,4998.137,0.745,20.750,15.52,,
213,4692.500,5015.832,0.757,21.110,18.82,0.007584631,7.517616887
213.5,4700.200,5024.669,0.757,21.110,20.6,,
214.5,4715.500,5042.322,0.760,21.200,17.12,,
215,4723.100,5051.137,0.763,21.280,22.56,0.004961458,5.842223785
215.5,4730.800,5059.945,0.767,21.420,27.26,,
216.5,4746.100,5077.540,0.757,21.110,20.64,,
217,4753.767228,5086.327,,,,0.006854617,5.713714193
217.5,4761.400,5095.107,0.769,21.480,21,0.006854617,5.713714193
218,4769.100,5103.879,0.762,21.270,20.99,,
218.5,4776.700,5112.644,0.762,21.270,17.87,,
219,4784.400,5121.402,0.773,21.590,26.62,0.007462578,5.89937652
219.5,4792.100,5130.153,0.760,21.210,22.02,,
220,4799.700,5138.897,,,,,
220.5,4807.400,5147.633,0.770,21.510,16.11235693,,
221,4815.022971,5156.363,,,,0.006932699,5.842617557
223,4845.650842,5191.208,,,,0.007164898,5.890270239
225.5,4883.935681,5234.603,0.748,20.875,12.31416227,0.007208242,6.200787705
227,4906.900,5260.554,0.741,20.640,21.16866,0.005941478,7.195749686
227.5,4914.563553,5269.190,,,,0.005941478,7.195749686
228.5,4929.900,5286.441,0.739,20.590,16.67,,
229,4937.534456,5295.055,,,,0.005305689,7.89307724
230.5,4960.500,5320.856,0.734,20.440,15.54,,
231.5,4975.800,5338.020,,,,0.005157687,8.16997174
232,4983.500,5346.592,0.729,20.280,15.25,,
233.5,5006.400,5372.263,0.723,20.130,17.5,0.006084996,6.326552371
235,5029.400,5397.869,0.738,20.550,17.06,0.006711965,6.360300737
236.5,5052.400,5423.411,0.740,20.630,13.77,0.005699549,6.083081536
238,5075.400,5448.889,0.748,20.850,15.87,,
239.5,5098.300,5474.301,0.743,20.700,16.94,0.006290228,6.747890515
240,5106.000,5482.758,,,,,
241,5121.300,5499.650,0.739,20.580,14.91,0.006339402,6.785655923
241.5,5129.000,5508.085,0.748,20.850,10.78,,
242.5,5144.300,5524.933,0.748,20.857,15.11,,
243.5,5159.600,5541.753,0.754,21.040,15.81,0.006364645,6.837586347
244,5167.200,5550.152,0.760,21.210,14.37,,
245,5174.900,5566.929,0.754,21.024,14.29703016,0.006025644,7.037028913
245.5,5190.214,5575.307,0.750,20.926,14.21221925,,
